compte_courant,duree_mois,historique_credit,objectif_credit,montant_credit,epargne,emploi_depuis,taux_remboursement,statut_personnel,garants,residence_depuis,patrimoine,age,autres_credits,logement,nb_credits_banque,emploi,personnes_a_charge,telephone,travailleur_etranger,classe
< 0 DM (découvert),6,Compte critique / autres crédits,Radio/Télévision,1169,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,67,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,48,Crédits en cours remboursés,Radio/Télévision,5951,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,2,Immobilier,22,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Éducation,2096,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,3,Immobilier,49,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
< 0 DM (découvert),42,Crédits en cours remboursés,Meubles/Équipement,7882,< 100 DM,4-7 ans,2,Homme célibataire,Garant,4,Épargne logement/Assurance vie,45,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
< 0 DM (découvert),24,Retards de paiement passés,Voiture (neuve),4870,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,53,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,36,Crédits en cours remboursés,Éducation,9055,Pas d'épargne,1-4 ans,2,Homme célibataire,Aucun,4,Aucun patrimoine,35,Aucun,Gratuit,1,Non qualifié (résident),2,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Meubles/Équipement,2835,500-1000 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,53,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,36,Crédits en cours remboursés,Voiture (occasion),6948,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Voiture ou autre,35,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,3059,>= 1000 DM,4-7 ans,2,Homme divorcé/séparé,Aucun,4,Immobilier,61,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,30,Compte critique / autres crédits,Voiture (neuve),5234,< 100 DM,Sans emploi,4,Homme marié/veuf,Aucun,2,Voiture ou autre,28,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Non,Oui,Mauvais client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),1295,< 100 DM,< 1 an,3,Femme divorcée/mariée,Aucun,1,Voiture ou autre,25,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),48,Crédits en cours remboursés,Business,4308,< 100 DM,< 1 an,3,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,24,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1567,< 100 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,1,Voiture ou autre,22,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Compte critique / autres crédits,Voiture (neuve),1199,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,60,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Mauvais client
< 0 DM (découvert),15,Crédits en cours remboursés,Voiture (neuve),1403,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,28,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Radio/Télévision,1282,100-500 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Voiture ou autre,32,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,24,Compte critique / autres crédits,Radio/Télévision,2424,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,53,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),30,Aucun crédit / tous remboursés,Business,8072,Pas d'épargne,< 1 an,2,Homme célibataire,Aucun,3,Voiture ou autre,25,Banque,Propriétaire,3,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,24,Crédits en cours remboursés,Voiture (occasion),12579,< 100 DM,>= 7 ans,4,Femme divorcée/mariée,Aucun,2,Aucun patrimoine,44,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,3430,500-1000 DM,>= 7 ans,3,Homme célibataire,Aucun,2,Voiture ou autre,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
Pas de compte,9,Compte critique / autres crédits,Voiture (neuve),2134,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,48,Aucun,Propriétaire,3,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),6,Crédits en cours remboursés,Radio/Télévision,2647,500-1000 DM,1-4 ans,2,Homme célibataire,Aucun,3,Immobilier,44,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
< 0 DM (découvert),10,Compte critique / autres crédits,Voiture (neuve),2241,< 100 DM,< 1 an,1,Homme célibataire,Aucun,3,Immobilier,48,Aucun,Location,2,Non qualifié (résident),2,Non,Non,Bon client
0-200 DM,12,Compte critique / autres crédits,Voiture (occasion),1804,100-500 DM,< 1 an,3,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,44,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,10,Compte critique / autres crédits,Meubles/Équipement,2069,Pas d'épargne,1-4 ans,2,Homme marié/veuf,Aucun,1,Voiture ou autre,26,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Non,Bon client
